national_number,gen,pokemon_name,primary_type,secondary_type,classification,height_m,weight_kg,hp,attack,defense,sp_attack,sp_defense,speed,abilities_0,abilities_1,is_sublegendary,is_legendary,is_mythical,evochain_1,evochain_2,evochain_3,evochain_4,mega_evolution,description,image
11,I,Metapod,bug,,Cocoon Pokémon,0.7,9.9,50,20,55,25,25,30,Shed Skin,,0,0,0,Caterpie,Metapod,Butterfree,,,"It is waiting for the moment to evolve. At this stage, it can only harden, so it remains motionless to avoid attack.",
12,I,Butterfree,bug,flying,Butterfly Pokémon,1.1,32,60,45,50,90,80,70,Compoundeyes,,0,0,0,Caterpie,Metapod,Butterfree,,,"In battle, it flaps its wings at great speed to release highly toxic dust into the air.",
13,I,Weedle,bug,poison,Hairy Pokémon,0.3,3.2,40,35,30,20,20,50,Shield Dust,,0,0,0,Weedle,Kakuna,Beedrill,,,Beware of the sharp stinger on its head. It hides in grass and bushes where it eats leaves.,
14,I,Kakuna,bug,poison,Cocoon Pokémon,0.6,10,45,25,50,25,25,35,Shed Skin,,0,0,0,Weedle,Kakuna,Beedrill,,,"Able to move only slightly. When endangered, it may stick out its stinger and poison its enemy.",
15,I,Beedrill,bug,poison,Poison Bee Pokémon,1,29.5,65,90,40,45,80,75,Swarm,,0,0,0,Weedle,Kakuna,Beedrill,,Mega Beedrill,It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.,
16,I,Pidgey,normal,flying,Tiny Bird Pokémon,0.3,1.8,40,45,40,35,35,56,Keen Eye,Tangled Feet,0,0,0,Pidgey,Pidgeotto,Pidgeot,,,"Very docile. If attacked, it will often kick up sand to protect itself rather than fight back.",
17,I,Pidgeotto,normal,flying,Bird Pokémon,1.1,30,63,60,55,50,50,71,Keen Eye,Tangled Feet,0,0,0,Pidgey,Pidgeotto,Pidgeot,,,This Pokémon is full of vitality. It constantly flies around its large territory in search of prey.,
18,I,Pidgeot,normal,flying,Bird Pokémon,1.5,39.5,83,80,75,70,70,101,Keen Eye,Tangled Feet,0,0,0,Pidgey,Pidgeotto,Pidgeot,,Mega Pidgeot,"This Pokémon flies at Mach 2 speed, seeking prey. Its large talons are feared as wicked weapons.",
19,I,Rattata,normal,dark,Mouse Pokémon,0.3,3.5,30,56,35,25,35,72,Run Away,Guts,0,0,0,Rattata,Raticate,,,,"Will chew on anything with its fangs. If you see one, you can be certain that 40 more live in the area.",
20,I,Raticate,normal,dark,Mouse Pokémon,0.7,18.5,55,81,60,50,70,97,Run Away,Guts,0,0,0,Rattata,Raticate,,,,"Its hind feet are webbed. They act as flippers, so it can swim in rivers and hunt for prey.",
21,I,Spearow,normal,flying,Tiny Bird Pokémon,0.3,2,40,60,30,31,31,70,Keen Eye,,0,0,0,Spearow,Fearow,,,,"Inept at flying high. However, it can fly around very fast to protect its territory.",
22,I,Fearow,normal,flying,Beak Pokémon,1.2,38,65,90,65,61,61,100,Keen Eye,,0,0,0,Spearow,Fearow,,,,"A Pokémon that dates back many years. If it senses danger, it flies high and away, instantly.",
23,I,Ekans,poison,,Snake Pokémon,2,6.9,35,60,44,40,54,55,Intimidate,Shed Skin,0,0,0,Ekans,Arbok,,,,"The older it gets, the longer it grows. At night, it wraps its long body around tree branches to rest.",
24,I,Arbok,poison,,Cobra Pokémon,3.5,65,60,95,69,65,79,80,Intimidate,Shed Skin,0,0,0,Ekans,Arbok,,,,The frightening patterns on its belly have been studied. Six variations have been confirmed.,
25,I,Pikachu,electric,,Mouse Pokémon,0.4,6,35,55,40,50,50,90,Static,,0,0,0,Pichu,Pikachu,Raichu,,,Pikachu that can generate powerful electricity have cheek sacs that are extra soft and super stretchy.,
26,I,Raichu,electric,electric,Mouse Pokémon,0.8,30,60,90,55,90,80,110,Static,Surge Surfer (Alola Form),0,0,0,Pichu,Pikachu,Raichu,,,Its long tail serves as a ground to protect itself from its own high-voltage power.,
27,I,Sandshrew,ground,ice,Mouse Pokémon,0.6,12,50,75,85,20,30,40,Sand Veil,,0,0,0,Sandshrew,Sandslash,,,,"It loves to bathe in the grit of dry, sandy areas. By sand bathing, the Pokémon rids itself of dirt and moisture clinging to its body.",
28,I,Sandslash,ground,ice,Mouse Pokémon,1,29.5,75,100,110,45,55,65,Sand Veil,,0,0,0,Sandshrew,Sandslash,,,,"The drier the area Sandslash lives in, the harder and smoother the Pokémon’s spikes will feel when touched.",
29,I,Nidoran♀,poison,,Poison Pin Pokémon,0.4,7,55,47,52,40,40,41,Poison Point,Rivalry,0,0,0,Egg,Nidoran♀,Nidorina,Nidoqueen,,"Females are more sensitive to smells than males. While foraging, they’ll use their whiskers to check wind direction and stay downwind of predators.",
30,I,Nidorina,poison,,Poison Pin Pokémon,0.8,20,70,62,67,55,55,56,Poison Point,Rivalry,0,0,0,Egg,Nidoran♀,Nidorina,Nidoqueen,,The horn on its head has atrophied. It’s thought that this happens so Nidorina’s children won’t get poked while their mother is feeding them.,
31,I,Nidoqueen,poison,ground,Drill Pokémon,1.3,60,90,92,87,75,85,76,Poison Point,Rivalry,0,0,0,Egg,Nidoran♀,Nidorina,Nidoqueen,,"Nidoqueen is better at defense than offense. With scales like armor, this Pokémon will shield its children from any kind of attack.",
32,I,Nidoran♂,poison,,Poison Pin Pokémon,0.5,9,46,57,40,40,40,50,Poison Point,Rivalry,0,0,0,Egg,Nidoran♂,Nidorino,Nidoking,,"The horn on a male Nidoran’s forehead contains a powerful poison. This is a very cautious Pokémon, always straining its large ears.",
33,I,Nidorino,poison,,Poison Pin Pokémon,0.9,19.5,61,72,57,55,55,65,Poison Point,Rivalry,0,0,0,Egg,Nidoran♂,Nidorino,Nidoking,,"With a horn that’s harder than diamond, this Pokémon goes around shattering boulders as it searches for a moon stone.",
34,I,Nidoking,poison,ground,Drill Pokémon,1.4,62,81,102,77,85,75,85,Poison Point,Rivalry,0,0,0,Egg,Nidoran♂,Nidorino,Nidoking,,"When it goes on a rampage, it’s impossible to control. But in the presence of a Nidoqueen it’s lived with for a long time, Nidoking calms down.",
35,I,Clefairy,fairy,,Fairy Pokémon,0.6,7.5,70,45,48,60,65,35,Cute Charm,Magic Guard,0,0,0,Cleffa,Clefairy,Clefable,,,It is said that happiness will come to those who see a gathering of Clefairy dancing under a full moon.,
36,I,Clefable,fairy,,Fairy Pokémon,1.3,40,95,70,73,95,90,60,Cute Charm,Magic Guard,0,0,0,Cleffa,Clefairy,Clefable,,,"A timid fairy Pokémon that is rarely seen, it will run and hide the moment it senses people.",
37,I,Vulpix,fire,ice,Fox Pokémon,0.6,9.9,38,41,40,50,65,65,Flash Fire,,0,0,0,Vulpix,Ninetales,,,,"While young, it has six gorgeous tails. When it grows, several new tails are sprouted.",
38,I,Ninetales,fire,ice,Fox Pokémon,1.1,19.9,73,76,75,81,100,100,Flash Fire,,0,0,0,Vulpix,Ninetales,,,,"It is said to live 1,000 years, and each of its tails is loaded with supernatural powers.",
39,I,Jigglypuff,normal,fairy,Balloon Pokémon,0.5,5.5,115,45,20,45,25,20,Cute Charm,Competitive,0,0,0,Igglybuff,Jigglypuff,Wigglytuff,,,"Jigglypuff has top-notch lung capacity, even by comparison to other Pokémon. It won’t stop singing its lullabies until its foes fall asleep.",
40,I,Wigglytuff,normal,fairy,Balloon Pokémon,1,12,140,70,45,85,50,45,Cute Charm,Competitive,0,0,0,Igglybuff,Jigglypuff,Wigglytuff,,,"The more air it takes in, the more it inflates. If opponents catch it in a bad mood, it will inflate itself to an enormous size to intimidate them.",
41,I,Zubat,poison,flying,Bat Pokémon,0.8,7.5,40,45,35,30,40,55,Inner Focus,,0,0,0,Zubat,Golbat,Crobat,,,"It emits ultrasonic waves from its mouth to check its surroundings. Even in tight caves, Zubat flies around with skill.",
42,I,Golbat,poison,flying,Bat Pokémon,1.6,55,75,80,70,65,75,90,Inner Focus,,0,0,0,Zubat,Golbat,Crobat,,,"It loves to drink other creatures’ blood. It’s said that if it finds others of its kind going hungry, it sometimes shares the blood it’s gathered.",
43,I,Oddish,grass,poison,Weed Pokémon,0.5,5.4,45,50,55,75,65,30,Chlorophyll,,0,0,0,Oddish,Gloom,Vileplume,Bellossom,,"If exposed to moonlight, it starts to move. It roams far and wide at night to scatter its seeds.",
44,I,Gloom,grass,poison,Weed Pokémon,0.8,8.6,60,65,70,85,75,40,Chlorophyll,,0,0,0,Oddish,Gloom,Vileplume,Bellossom,,Its pistils exude an incredibly foul odor. The horrid stench can cause fainting at a distance of 1.25 miles.,
45,I,Vileplume,grass,poison,Flower Pokémon,1.2,18.6,75,80,85,110,90,50,Chlorophyll,,0,0,0,Oddish,Gloom,Vileplume,,,"It has the world’s largest petals. With every step, the petals shake out heavy clouds of toxic pollen.",
46,I,Paras,bug,grass,Mushroom Pokémon,0.3,5.4,35,70,55,45,55,25,Effect Spore,Dry Skin,0,0,0,Paras,Parasect,,,,Burrows under the ground to gnaw on tree roots. The mushrooms on its back absorb most of the nutrition.,
47,I,Parasect,bug,grass,Mushroom Pokémon,1,29.5,60,95,80,60,80,30,Effect Spore,Dry Skin,0,0,0,Paras,Parasect,,,,The bug host is drained of energy by the mushroom on its back. The mushroom appears to do all the thinking.,
48,I,Venonat,bug,poison,Insect Pokémon,1,30,60,55,50,40,55,45,Compound Eyes,Tinted Lens,0,0,0,Venonat,Venomoth,,,,"Its large eyes act as radar. In a bright place, you can see that they are clusters of many tiny eyes.",
49,I,Venomoth,bug,poison,Poison Moth Pokémon,1.5,12.5,70,65,60,90,75,90,Shield Dust,Tinted Lens,0,0,0,Venonat,Venomoth,,,,The powdery scales on its wings are hard to remove from skin. They also contain poison that leaks out on contact.,
50,I,Diglett,ground,ground,Mole Pokémon,0.2,0.8,10,55,25,35,45,95,Sand Veil,Arena Trap,0,0,0,Diglett,Dugtrio,,,,"If a Diglett digs through a field, it leaves the soil perfectly tilled and ideal for planting crops.",
51,I,Dugtrio,ground,ground,Mole Pokémon,0.7,33.3,35,100,50,50,70,120,Sand Veil,Arena Trap,0,0,0,Diglett,Dugtrio,,,,A team of Diglett triplets. It triggers huge earthquakes by burrowing 60 miles underground.,
52,I,Meowth,normal,dark,Scratch Cat Pokémon,0.4,4.2,40,45,35,40,40,90,Pickup,Technician,0,0,0,Meowth,Persian,,,,"It loves to collect shiny things. If it’s in a good mood, it might even let its Trainer have a look at its hoard of treasures.",
53,I,Persian,normal,dark,Classy Cat Pokémon,1,32,65,70,60,65,65,115,Limber,Technician,0,0,0,Meowth,Persian,,,,"Getting this prideful Pokémon to warm up to you takes a lot of effort, and it will claw at you the moment it gets annoyed.",
54,I,Psyduck,water,,Duck Pokémon,0.8,19.6,50,52,48,65,50,55,Damp,Cloud Nine,0,0,0,Psyduck,Golduck,,,,"Psyduck is constantly beset by headaches. If the Pokémon lets its strange power erupt, apparently the pain subsides for a while.",
55,I,Golduck,water,,Duck Pokémon,1.7,76.6,80,82,78,95,80,85,Damp,Cloud Nine,0,0,0,Psyduck,Golduck,,,,"This Pokémon lives in gently flowing rivers. It paddles through the water with its long limbs, putting its graceful swimming skills on display.",
56,I,Mankey,fighting,,Pig Monkey Pokémon,0.5,28,40,80,35,35,45,70,Vital Spirit,Anger Point,0,0,0,Mankey,Primeape,,,,An agile Pokémon that lives in trees. It angers easily and will not hesitate to attack anything.,
57,I,Primeape,fighting,,Pig Monkey Pokémon,1,32,65,105,60,60,70,95,Vital Spirit,Anger Point,0,0,0,Mankey,Primeape,,,,It stops being angry only when nobody else is around. To view this moment is very difficult.,
58,I,Growlithe,fire,,Puppy Pokémon,0.7,19,55,70,45,70,50,60,Intimidate,Flash Fire,0,0,0,Growlithe,Arcanine,,,,It has a brave and trustworthy nature. It fearlessly stands up to bigger and stronger foes.,
59,I,Arcanine,fire,,Legendary Pokémon,1.9,155,90,110,80,100,80,95,Intimidate,Flash Fire,0,0,0,Growlithe,Arcanine,,,,"The sight of it running over 6,200 miles in a single day and night has captivated many people.",
60,I,Poliwag,water,,Tadpole Pokémon,0.6,12.4,40,50,40,40,40,90,Water Absorb,Damp,0,0,0,Poliwag,Poliwhirl,Poliwrath,Politoed,,"For Poliwag, swimming is easier than walking. The swirl pattern on its belly is actually part of the Pokémon’s innards showing through the skin.",
61,I,Poliwhirl,water,,Tadpole Pokémon,1,20,65,65,65,50,50,90,Water Absorb,Damp,0,0,0,Poliwag,Poliwhirl,Poliwrath,Politoed,,Staring at the swirl on its belly causes drowsiness. This trait of Poliwhirl’s has been used in place of lullabies to get children to go to sleep.,
62,I,Poliwrath,water,fighting,Tadpole Pokémon,1.3,54,90,95,95,70,90,70,Water Absorb,Damp,0,0,0,Poliwag,Poliwhirl,Poliwrath,,,"Its body is solid muscle. When swimming through cold seas, Poliwrath uses its impressive arms to smash through drift ice and plow forward.",
63,I,Abra,psychic,,Psi Pokémon,0.9,19.5,25,20,15,105,55,90,Synchronize,Inner Focus,0,0,0,Abra,Kadabra,Alakazam,,,This Pokémon uses its psychic powers while it sleeps. The contents of Abra’s dreams affect the powers that the Pokémon wields.,
64,I,Kadabra,psychic,,Psi Pokémon,1.3,56.5,40,35,30,120,70,105,Synchronize,Inner Focus,0,0,0,Abra,Kadabra,Alakazam,,,"Using its psychic power, Kadabra levitates as it sleeps. It uses its springy tail as a pillow.",
65,I,Alakazam,psychic,,Psi Pokémon,1.5,48,55,50,45,135,95,120,Synchronize,Inner Focus,0,0,0,Abra,Kadabra,Alakazam,,Mega Alakazam,"It has an incredibly high level of intelligence. Some say that Alakazam remembers everything that ever happens to it, from birth till death.",
66,I,Machop,fighting,,Superpower Pokémon,0.8,19.5,70,80,50,35,35,35,Guts,No Guard,0,0,0,Machop,Machoke,Machamp,,,"Its whole body is composed of muscles. Even though it’s the size of a human child, it can hurl 100 grown-ups.",
67,I,Machoke,fighting,,Superpower Pokémon,1.5,70.5,80,100,70,50,60,45,Guts,No Guard,0,0,0,Machop,Machoke,Machamp,,,"Its muscular body is so powerful, it must wear a power-save belt to be able to regulate its motions.",
68,I,Machamp,fighting,,Superpower Pokémon,1.6,130,90,130,80,65,85,55,Guts,No Guard,0,0,0,Machop,Machoke,Machamp,,,It quickly swings its four arms to rock its opponents with ceaseless punches and chops from all angles.,
69,I,Bellsprout,grass,poison,Flower Pokémon,0.7,4,50,75,35,70,30,40,Chlorophyll,,0,0,0,Bellsprout,Weepinbell,Victreebel,,,Prefers hot and humid places. It ensnares tiny bugs with its vines and devours them.,
70,I,Weepinbell,grass,poison,Flycatcher Pokémon,1,6.4,65,90,50,85,45,55,Chlorophyll,,0,0,0,Bellsprout,Weepinbell,Victreebel,,,"When hungry, it swallows anything that moves. Its hapless prey is dissolved by strong acids.",
71,I,Victreebel,grass,poison,Flycatcher Pokémon,1.7,15.5,80,105,65,100,70,70,Chlorophyll,,0,0,0,Bellsprout,Weepinbell,Victreebel,,,"Lures prey with the sweet aroma of honey. Swallowed whole, the prey is dissolved in a day, bones and all.",
72,I,Tentacool,water,poison,Jellyfish Pokémon,0.9,45.5,40,40,35,50,100,70,Clear Body,Liquid Ooze,0,0,0,Tentacool,Tentacruel,,,,Tentacool is not a particularly strong swimmer. It drifts across the surface of shallow seas as it searches for prey.,
73,I,Tentacruel,water,poison,Jellyfish Pokémon,1.6,55,80,70,65,80,120,100,Clear Body,Liquid Ooze,0,0,0,Tentacool,Tentacruel,,,,"When the red orbs on Tentacruel’s head glow brightly, watch out. The Pokémon is about to fire off a burst of ultrasonic waves.",
74,I,Geodude,rock,ground,Rock Pokémon,0.4,20,40,80,100,30,30,20,Rock Head,Sturdy,0,0,0,Geodude,Graveler,Golem,,,"Commonly found near mountain trails and the like. If you step on one by accident, it gets angry.",
75,I,Graveler,rock,ground,Rock Pokémon,1,105,55,95,115,45,45,35,Rock Head,Sturdy,0,0,0,Geodude,Graveler,Golem,,,"Often seen rolling down mountain trails. Obstacles are just things to roll straight over, not avoid.",
76,I,Golem,rock,ground,Megaton Pokémon,1.4,300,80,120,130,55,65,45,Rock Head,Sturdy,0,0,0,Geodude,Graveler,Golem,,,"Once it sheds its skin, its body turns tender and whitish. Its hide hardens when it’s exposed to air.",
77,I,Ponyta,fire,psychic,Fire Horse Pokémon,1,30,50,85,55,65,65,90,Run Away,Flash Fire,0,0,0,Ponyta,Rapidash,,,,"It can’t run properly when it’s newly born. As it races around with others of its kind, its legs grow stronger.",
78,I,Rapidash,fire,psychic,Fire Horse Pokémon,1.7,95,65,100,70,80,80,105,Run Away,Flash Fire,0,0,0,Ponyta,Rapidash,,,,"This Pokémon can be seen galloping through fields at speeds of up to 150 mph, its fiery mane fluttering in the wind.",
79,I,Slowpoke,water,psychic,Dopey Pokémon,1.2,36,90,65,65,40,40,15,Oblivious,Own Tempo,0,0,0,Slowpoke,Slowbro,Slowking,Use Galarica Cuff,,"Slow-witted and oblivious, this Pokémon won’t feel any pain if its tail gets eaten. It won’t notice when its tail grows back, either.",
80,I,Slowbro,water,psychic,Hermit Crab Pokémon,1.6,78.5,95,75,110,100,80,30,Oblivious,Own Tempo,0,0,0,Slowpoke,Slowbro,Slowking,Use Galarica Cuff,Mega Slowbro,Slowpoke became Slowbro when a Shellder bit on to its tail. Sweet flavors seeping from the tail make the Shellder feel as if its life is a dream.,
81,I,Magnemite,electric,steel,Magnet Pokémon,0.3,6,25,35,70,95,55,45,Magnet Pull,Sturdy,0,0,0,Magnemite,Magneton,Magnezone,,,"At times, Magnemite runs out of electricity and ends up on the ground. If you give batteries to a grounded Magnemite, it’ll start moving again.",
82,I,Magneton,electric,steel,Magnet Pokémon,1,60,50,60,95,120,70,70,Magnet Pull,Sturdy,0,0,0,Magnemite,Magneton,Magnezone,,,This Pokémon is three Magnemite that have linked together. Magneton sends out powerful radio waves to study its surroundings.,
83,I,Farfetch'd,normal,flying,Wild Duck Pokémon,0.8,15,52,90,55,58,62,60,Keen Eye,Inner Focus,0,0,0,Farfetch'd,Sirfetch'd,,,,"The stalk this Pokémon carries in its wings serves as a sword to cut down opponents. In a dire situation, the stalk can also serve as food.",
84,I,Doduo,normal,flying,Twin Bird Pokémon,1.4,39.2,35,85,45,35,35,75,Run Away,Early Bird,0,0,0,Doduo,Dodrio,,,,"Its short wings make flying difficult. Instead, this Pokémon runs at high speed on developed legs.",
85,I,Dodrio,normal,flying,Triple Bird Pokémon,1.8,85.2,60,110,70,60,60,110,Run Away,Early Bird,0,0,0,Doduo,Dodrio,,,,One of Doduo’s two heads splits to form a unique species. It runs close to 40 mph in prairies.,
86,I,Seel,water,,Sea Lion Pokémon,1.1,90,65,45,55,45,70,45,Thick Fat,Hydration,0,0,0,Seel,Dewgong,,,,Loves freezing-cold conditions. Relishes swimming in a frigid climate of around 14 degrees Fahrenheit.,
87,I,Dewgong,water,ice,Sea Lion Pokémon,1.7,120,90,70,80,70,95,70,Thick Fat,Hydration,0,0,0,Seel,Dewgong,,,,"Its entire body is a snowy white. Unharmed by even intense cold, it swims powerfully in icy waters.",
88,I,Grimer,poison,poison,Sludge Pokémon,0.9,30,80,80,50,40,50,25,Stench,Sticky Hold,0,0,0,Grimer,Muk,,,,Made of congealed sludge. It smells too putrid to touch. Even weeds won’t grow in its path.,
89,I,Muk,poison,poison,Sludge Pokémon,1.2,30,105,105,75,65,100,50,Stench,Sticky Hold,0,0,0,Grimer,Muk,,,,"Smells so awful, it can cause fainting. Through degeneration of its nose, it lost its sense of smell.",
90,I,Shellder,water,,Bivalve Pokémon,0.3,4,30,65,100,45,25,40,Shell Armor,Skill Link,0,0,0,Shellder,Cloyster,,,,It swims facing backward by opening and closing its two-piece shell. It is surprisingly fast.,
91,I,Cloyster,water,ice,Bivalve Pokémon,1.5,132.5,50,95,180,85,45,70,Shell Armor,Skill Link,0,0,0,Shellder,Cloyster,,,,"Its shell is extremely hard. It cannot be shattered, even with a bomb. The shell opens only when it is attacking.",
92,I,Gastly,ghost,poison,Gas Pokémon,1.3,0.1,30,35,30,100,35,80,Levitate,,0,0,0,Gastly,Haunter,Gengar,,,"Born from gases, anyone would faint if engulfed by its gaseous body, which contains poison.",
93,I,Haunter,ghost,poison,Gas Pokémon,1.6,0.1,45,50,45,115,55,95,Levitate,,0,0,0,Gastly,Haunter,Gengar,,,"Its tongue is made of gas. If licked, its victim starts shaking constantly until death eventually comes.",
94,I,Gengar,ghost,poison,Shadow Pokémon,1.5,40.5,60,65,60,130,75,110,Cursed Body,,0,0,0,Gastly,Haunter,Gengar,,Mega Gengar,"On the night of a full moon, if shadows move on their own and laugh, it must be Gengar’s doing.",
95,I,Onix,rock,ground,Rock Snake Pokémon,8.8,210,35,45,160,30,45,70,Rock Head,Sturdy,0,0,0,Onix,Steelix,,,,"As it digs through the ground, it absorbs many hard objects. This is what makes its body so solid.",
96,I,Drowzee,psychic,,Hypnosis Pokémon,1,32.4,60,48,45,43,90,42,Insomnia,Forewarn,0,0,0,Drowzee,Hypno,,,,"If you sleep by it all the time, it will sometimes show you dreams it had eaten in the past.",
97,I,Hypno,psychic,,Hypnosis Pokémon,1.6,75.6,85,73,70,73,115,67,Insomnia,Forewarn,0,0,0,Drowzee,Hypno,,,,Avoid eye contact if you come across one. It will try to put you to sleep by using its pendulum.,
98,I,Krabby,water,,River Crab Pokémon,0.4,6.5,30,105,90,25,25,50,Hyper Cutter,Shell Armor,0,0,0,Krabby,Kingler,,,,It can be found near the sea. The large pincers grow back if they are torn out of their sockets.,
99,I,Kingler,water,,Pincer Pokémon,1.3,60,55,130,115,50,50,75,Hyper Cutter,Shell Armor,0,0,0,Krabby,Kingler,,,,"Its large and hard pincer has 10,000-horsepower strength. However, being so big, it is unwieldy to move.",
100,I,Voltorb,electric,,Ball Pokémon,0.5,10.4,40,30,50,55,55,100,Soundproof,Static,0,0,0,Voltorb,Electrode,,,,It is said to camouflage itself as a Poké Ball. It will self-destruct with very little stimulus.,
101,I,Electrode,electric,,Ball Pokémon,1.2,66.6,60,50,70,80,80,150,Soundproof,Static,0,0,0,Voltorb,Electrode,,,,Stores electrical energy inside its body. Even the slightest shock could trigger a huge explosion.,
102,I,Exeggcute,grass,psychic,Egg Pokémon,0.4,2.5,60,40,80,60,45,40,Chlorophyll,,0,0,0,Exeggcute,Exeggutor,,,,"Though it may look like it’s just a bunch of eggs, it’s a proper Pokémon. Exeggcute communicates with others of its kind via telepathy, apparently.",
103,I,Exeggutor,grass,psychic,Coconut Pokémon,2,120,95,95,85,125,75,55,Chlorophyll,,0,0,0,Exeggcute,Exeggutor,,,,Each of Exeggutor’s three heads is thinking different thoughts. The three don’t seem to be very interested in one another.,
104,I,Cubone,ground,,Lonely Pokémon,0.4,6.5,50,50,95,40,50,35,Rock Head,Lightning Rod,0,0,0,Cubone,Marowak,,,,"When the memory of its departed mother brings it to tears, its cries echo mournfully within the skull it wears on its head.",
105,I,Marowak,ground,fire,Bone Keeper Pokémon,1,45,60,80,110,50,80,45,Rock Head,Lightning Rod,0,0,0,Cubone,Marowak,,,,"This Pokémon overcame its sorrow to evolve a sturdy new body. Marowak faces its opponents bravely, using a bone as a weapon.",
106,I,Hitmonlee,fighting,,Kicking Pokémon,1.5,49.8,50,120,53,35,110,87,Limber,Reckless,0,0,0,Tyrogue,Hitmonlee,,,,This amazing Pokémon has an awesome sense of balance. It can kick in succession from any position.,
107,I,Hitmonchan,fighting,,Punching Pokémon,1.4,50.2,50,105,79,35,110,76,Keen Eye,Iron Fist,0,0,0,Tyrogue,Hitmonchan,,,,"Its punches slice the air. They are launched at such high speed, even a slight graze could cause a burn.",
108,I,Lickitung,normal,,Licking Pokémon,1.2,65.5,90,55,75,60,75,30,Own Tempo,Oblivious,0,0,0,Lickitung,Lickilicky,,,,"If this Pokémon’s sticky saliva gets on you and you don’t clean it off, an intense itch will set in. The itch won’t go away, either.",
109,I,Koffing,poison,,Poison Gas Pokémon,0.6,1,40,65,95,60,45,35,Levitate,Neutralizing Gas,0,0,0,Koffing,Weezing,,,,"Its body is full of poisonous gas. It floats into garbage dumps, seeking out the fumes of raw, rotting trash.",
110,I,Weezing,poison,poison,Poison Gas Pokémon,1.2,9.5,65,90,120,85,70,60,Levitate,Neutralizing Gas,0,0,0,Koffing,Weezing,,,,It mixes gases between its two bodies. It’s said that these Pokémon were seen all over the Galar region back in the day.,
111,I,Rhyhorn,ground,rock,Spikes Pokémon,1,115,80,85,95,30,30,25,Lightning Rod,Rock Head,0,0,0,Rhyhorn,Rhydon,Rhyperior,,,"Strong, but not too bright, this Pokémon can shatter even a skyscraper with its charging tackles.",
112,I,Rhydon,ground,rock,Drill Pokémon,1.9,120,105,130,120,45,45,40,Lightning Rod,Rock Head,0,0,0,Rhyhorn,Rhydon,Rhyperior,,,It begins walking on its hind legs after evolution. It can punch holes through boulders with its horn.,
113,I,Chansey,normal,,Egg Pokémon,1.1,34.6,250,5,5,35,105,50,Natural Cure,Serene Grace,0,0,0,Happiny,Chansey,Blissey,,,The egg Chansey carries is not only delicious but also packed with nutrition. It’s used as a high-class cooking ingredient.,
114,I,Tangela,grass,,Vine Pokémon,1,35,65,55,115,100,40,60,Chlorophyll,Leaf Guard,0,0,0,Tangela,Tangrowth,,,,"Hidden beneath a tangle of vines that grows nonstop even if the vines are torn off, this Pokémon’s true appearance remains a mystery.",
